,,HLE: Nine,HLE:,,,,,HLE: Nine,HLE: Nine,,,HLE: Olav /phrases and proofread: Yonas Fessehaye & Brhane Johannes / 99%,HLE: Olav /phrases and proofread: Yonas Fessehaye & Brhane Johannes / 99%,HLE: Olav,HLE: Olav,HLE: Olav,,,,HLE: hjubaer,HLE: hjubaer,HLE: Leila /Armeghan,,HLE: Armeghan,,,,,HLE: Sanija,,,,,,HLE: Agata,,,,,HLE: Sabrina Power,,,HLE: Kirsti Maula,,HLE: Caterina de Rosa,,,,,,,,,french,,,,,
Numbers for short section,ID,German,Arabic (Syrian),Standard Arabic,Syrian Arabic,Syrian phonetic/Fusha phonetics,,English,French,Slovenian,Dutch,Tigrinya,"Tigrinya
 Phonetic",Amharic,Amharic Phonetic,Somali,Somali,Urdu,Urdu Phonetic,Bangla / বাংলা ,Bangla Phonetic,Farsi,Farsi Phonetic,Dari,Dari Phonetic,Pashto,Pashto Phonetic,Albanian,Bosnian / Croatian / Serbian,Polish,Macedonian ,,Russian,,Slovak / ,Czech,"Kurdish
(Sorani)",Bulgarian,Kurdish (Kurmanji),Swedish / Norwegian / Danish,,,Finnish,Icelandic,Italian,Turkish,Spanish,Hungarian ,Portuguese,Greek phonetic,Greek alphabet,Romanian,"Armenian
80% ready /proofreed needed
Please mark in green",Armenian phonetic,Lithuanian,Filipino,Vietnamese,Tamil (still fixing some of the phonetic pronunciations),Tamil (Phonetic)
,,,,ara,apc,apc-Latn,ara-Latn,eng ,fra,slv,nld,tir,tir-Latn,amh ,amh-Latn,som ,som ,urd ,urd-Latn,ben ,ben-Latn,unclear which language is intended here. Iranian?,,prs,prs-Latn,pus,pus-Latn,sqi,hbs,pol ,mkd,mkd-Latn,rus ,rus-Latn,slk,ces,ckb,bul ,kmr,swe ,nor ,dan,fin ,isl,ita ,tur ,spa ,hun ,por  ,ell-Latn,ell,rom ,hye,hye-Latn,lit  ,fil ,vie ,,
G000,,Grundlagen,,,,,,Basic Conversation,Conversation de base,Osnovni pogovor,Basic conversatie,(ዝርርብ ቀንዲ),(Ziriribi K´enidi),,,,,بنیادی بات چیت,Bunyaadi baat cheet,,,,,,,,,,,Podstawowe rozmowy,Основна конверзација,,Повседневная речь,,,,,,,,,,Yleiskeskustelu,,Conversazione di Base,Temel iletisim / konuşma,Conversación Básica,Társalgás,Conversação Básica,Vasikí Synomilía,Βασική συνομιλία,Conversație de bază,,,Paprasti pokalbiai,,,,
G001,GREETING_INFORMAL,Hallo,"مرحبا
اهلا",مرحبا,,Saalam/ Merhaba,,Hello,salut,Zdravo,Hallo,ሰላም፣ሰላማት,selam/selamat,ሰላም,selam,,,سلام,Salaam,হ্যালো / সালাম,hello/salam,سلام,Salaam,سلام,Salaam, سلام,Salaam,Përshëndetje,Zdravo / Bok / Ćao,Cześć,Здраво (Zdravo),,Привет / здравствуйте prʲɪvʲˈet / zdrˈastvʊjtʲɪ,,"S: Ahoj
C: Ahoj",,سڵاو,Zdravei / Здравей,Merheba,"S: Hej
N: Hallo/Hei
D: Hej",,,Hei,Halló,Salve/Ciao,Merhaba / Selam,Hola,Helló,Olá,Ya,Γεια,Salut!,Բարեւ Ձեզ,Barev Dzez,Labas / Laba diena (Good day),Kamusta,,வணக்கம்,Vanakkam
G002,GREETING_MORNING,guten Morgen, صباح الخیر,صباح الخیر,,Sabáh al-khayr,,good morning,bonjour,Dober dan,Goedendag / goedemorgen,ደሓንዶ ሓዲርኩም,deHando Hadirkum,,,,,صبح بخیر,Subh behkeir,শুভ সকাল / সুপ্রভাত  | স্লামালিকুম,shubho din / suprobhat | slāmālikum,صبح بخیر,Sob bekheir,صبح بخیر,Sob bekhair,سهار په خیر,Sahar pa khair,Mirëmëngjes,Dobro jutro,Dzień dobry,Добар ден (Dobar den),,Добрый день             dˈobrᵻj dʲˈenʲ,,"S: Dobrý deň
C: Dobrý den",,به‌یانی و باش,Dobar den  /Добър ден,Roj baş,"S: Goddag
N: God dag
D: Goddag",,,Hyvää huomenta,Góðan daginn,Buongiorno,Günaydın,Buenos días,Jó napot kívánok,Bom dia,Kaliméra,Καλημέρα,Bună ziua,Բարի լույս,pari louys,Labas rytas,Magandang araw,Xin chào,காலை வணக்கம்,kalai vanakkam
G003,GREETING_EVENING,guten Abend, مسا الخير ,مساء الخیر,,massa Alchayr     Masa al-khayr      ,,good evening,bonsoir,Dober večer,Goedenavond,ከመይ አምሲም።,dehan dom sichum,,,,,شب بخیر,shab bekheir,শুভ সন্ধ্যা,shubho sandhyā,شب بخیر,Shab bekheir,شب بخیر,Shaw bekhair,شپه په خیر,Shpa pa Khair,Mirëmbrëma,Dobro veče / Dobra večer,Dobry wieczór,Добро вечер (Dobro vecher),,Добрый вечер           dˈobrᵻj vʲˈet͡ɕɪr,,"S: Dobrý večer
C: Dobrý večer",,ئێواره‌ت باش,Dobar vecher/ Добър вечер,Êvar baş,"S: Godkväll
N: God kveld
D: God aften",,,Hyvää iltaa,Góða kvöldið,Buonasera,İyi akşamlar,Buenas noches,Jó estét,Boa noite,Kaló vrádi,Καλό βράδυ,Bună seara,Բարի երեկո,pari yerego,Labas vakaras,Magandang gabi,,மாலை வணக்கம்,malai vanakkam
G004,GREETING_DEPARTURE,auf Wiedersehen,مع السلامة /  باي ,مع السلامة,,ma‘a 's-saláma / bye,,goodbye,au revoir,Nasvidenje,"Tot ziens
",ደሓን ኵን,deHan kun,ደህና ሁን፨ሁኚ፨ሁኑ,dehnaa hun/hunyi/hunu,,,"خدا حافظ
",Khuda hafez,আবার দেখা হবে,abar dekha hobe,خداحافظ,khodaafez,خداحافظ,khodaafez,د خدای په امان   ,da khday pa aman,Mirupafshim,Doviđenja,Do widzenia,Довидување (Doviduvanje),,До свидания              də svʲɪdˈanʲɪjə,,"S: Dovidenia
C: Na shledanou",,خواحافیز,Dovizhdane / Довиждане,Bi xatirê te/ Oxir be,"S: Hejdå
N: Hadet bra
D: Farvel",,,Näkemiin,Vertu blessaður (m) / Vertu blessuð (f),Arrivederci,Hoşçakal,Adiós / Hasta pronto,Viszontlátásra,Adeus,Is to epanidín,Εις το επανιδείν,La revedere,ցտեսություն,tsdesutiun,Iki,Paalam,,குட்பை,good bye
G005,SORRY,Entschuldigung, لو سمحت,عفوا/ المعذرة,,"afwan, law samáht",,sorry / excuse me ,pardon / excusez-moi ,Oprostite.,Pardon,ይቐሬታ,yichreta,,,,,"معاف کیجیے
",Maaf keejiye,মাফ করবেন ...,maf korben.. ,ببخشید,Bebakhshid,بيبخشين,Bebakhshin,وبښه ,Wubakha/Wubakhsha,Më falni,Oprostite / Izvinite,Przepraszam,Извинете (Izvinete),,Извините / Извини / Простите / Прости    ɪzvʲɪnʲˈitʲɪ / ɪzvʲɪnʲˈi / prɐstʲˈitʲɪ / prɐstʲˈi,,"S: Prepáčte
C: Promiňte",,ببوره‌,Izvinete / Извинете,Bibore,"S: Ursäkta mig..
N: Unnskyld...
D: Undskyld..",,,Anteeksi,Afsakið/Fyrirgefðu,"Scusa/
Mi scusi",Özür dilerim,"Disculpa/ 
Perdona/ 
Lo siento ",Elnézést,Desculpe,Signómi,Συγγνώμη,Pardon,(պատրվակում),neroghutiun,Atsiprašau,Pasensya,Tôi xin lỗi.,மன்னிக்கவும் / என்னை மன்னியுங்கள்,Maṉṉikkavum/ eṉṉai maṉṉiyuṅkal
G006,PLEASE,bitte,عفوا/  لو تسمح,عفوا/ من فضلك,,lou tismah/Afwan,,please,s'il vous plaît,Prosim,Alstublieft (aub),በጃኺ,bjakha,,,,,مہربانی,Mehrbaani,প্লিজ / দয়া করে,please/ doya kore,لطفاً,Lotfan,لطفاً,Lutfan,لطفاً/مهربانی,lotfan,Ju lutem,Molim,Proszę,Ве молам (Ve molam),,Пожалуйста      pɐʐˈaləstə,,S: Prosím / C: Prosím,,ببوره‌,Molia / Моля,Ji kerema xwe re/ Kerem ke,"S: Snälla
N: Vær så snill
D: Vil du venligst",,,-,Vinsamlegast,Per favore,Lütfen,Por favor  ,Kérem,Por favor,Parakaló,Παρακαλώ,Vă rog,խնդրեմ,hramme,Prašau,Pakiusap,Xin,தயவு செய்து,dhaiva seythu
